Date,USD/TWD close
3-Aug-17,30.221
4-Aug-17,30.212
7-Aug-17,30.229
8-Aug-17,30.193
9-Aug-17,30.22
10-Aug-17,30.341
11-Aug-17,30.347
14-Aug-17,30.298
15-Aug-17,30.301
16-Aug-17,30.325
17-Aug-17,30.309
18-Aug-17,30.323
21-Aug-17,30.322
22-Aug-17,30.29
23-Aug-17,30.285
24-Aug-17,30.256
25-Aug-17,30.106
28-Aug-17,30.131
29-Aug-17,30.197
30-Aug-17,30.15
31-Aug-17,30.194
1-Sep-17,30.119
4-Sep-17,30.09
5-Sep-17,30.07
6-Sep-17,30.096
7-Sep-17,29.957
8-Sep-17,30.006
11-Sep-17,30.023
12-Sep-17,30.023
13-Sep-17,30.053
14-Sep-17,30.105
15-Sep-17,30.069
18-Sep-17,30.105
19-Sep-17,30.09
20-Sep-17,30.128
21-Sep-17,30.196
22-Sep-17,30.182
25-Sep-17,30.191
26-Sep-17,30.261
27-Sep-17,30.318
28-Sep-17,30.395
29-Sep-17,30.332
30-Sep-17,30.328
2-Oct-17,30.411
3-Oct-17,30.433
4-Oct-17,30.419
5-Oct-17,30.349
6-Oct-17,30.375
9-Oct-17,30.373
10-Oct-17,30.363
11-Oct-17,30.228
12-Oct-17,30.206
13-Oct-17,30.122
16-Oct-17,30.157
17-Oct-17,30.196
18-Oct-17,30.204
19-Oct-17,30.224
20-Oct-17,30.237
23-Oct-17,30.257
24-Oct-17,30.268
25-Oct-17,30.262
26-Oct-17,30.228
27-Oct-17,30.152
30-Oct-17,30.198
31-Oct-17,30.168
1-Nov-17,30.145
2-Nov-17,30.18
3-Nov-17,30.171
6-Nov-17,30.197
7-Nov-17,30.17
8-Nov-17,30.183
9-Nov-17,30.2
10-Nov-17,30.17
13-Nov-17,30.189
14-Nov-17,30.112
15-Nov-17,30.078
16-Nov-17,30.06
17-Nov-17,30.072
20-Nov-17,30.093
21-Nov-17,29.998
22-Nov-17,29.956
23-Nov-17,30.004
24-Nov-17,29.97
27-Nov-17,30
28-Nov-17,29.996
29-Nov-17,29.992
30-Nov-17,29.999
1-Dec-17,29.998
4-Dec-17,30.031
5-Dec-17,29.99
6-Dec-17,30.011
7-Dec-17,30.027
8-Dec-17,30.029
11-Dec-17,30.02
12-Dec-17,30.016
13-Dec-17,30.023
14-Dec-17,30.005
15-Dec-17,29.963
18-Dec-17,30.004
19-Dec-17,29.979
20-Dec-17,29.991
21-Dec-17,29.971
22-Dec-17,29.893
25-Dec-17,29.913
26-Dec-17,29.951
27-Dec-17,29.937
28-Dec-17,29.825
29-Dec-17,29.667
1-Jan-18,29.694
2-Jan-18,29.623
3-Jan-18,29.593
4-Jan-18,29.585
5-Jan-18,29.457
8-Jan-18,29.519
9-Jan-18,29.543
10-Jan-18,29.595
11-Jan-18,29.603
12-Jan-18,29.611
15-Jan-18,29.537
16-Jan-18,29.551
17-Jan-18,29.557
18-Jan-18,29.559
19-Jan-18,29.368
22-Jan-18,29.209
23-Jan-18,29.222
24-Jan-18,29.111
25-Jan-18,29.117
26-Jan-18,29.089
29-Jan-18,29.201
30-Jan-18,29.239
31-Jan-18,29.176
1-Feb-18,29.17
2-Feb-18,29.349
5-Feb-18,29.41
6-Feb-18,29.209
7-Feb-18,29.361
8-Feb-18,29.444
9-Feb-18,29.37
12-Feb-18,29.309
13-Feb-18,29.293
14-Feb-18,29.065
15-Feb-18,28.964
16-Feb-18,29.076
19-Feb-18,29.037
20-Feb-18,29.2
21-Feb-18,29.233
22-Feb-18,29.297
23-Feb-18,29.25
26-Feb-18,29.214
27-Feb-18,29.293
28-Feb-18,29.336
1-Mar-18,29.303
2-Mar-18,29.282
5-Mar-18,29.273
6-Mar-18,29.21
7-Mar-18,29.267
8-Mar-18,29.34
9-Mar-18,29.254
12-Mar-18,29.271
13-Mar-18,29.263
14-Mar-18,29.206
15-Mar-18,29.143
16-Mar-18,29.128
19-Mar-18,29.172
20-Mar-18,29.157
21-Mar-18,29.086
22-Mar-18,29.192
23-Mar-18,29.192
26-Mar-18,29.093
27-Mar-18,29.197
28-Mar-18,29.152
29-Mar-18,29.119
30-Mar-18,29.093
2-Apr-18,29.143
3-Apr-18,29.141
4-Apr-18,29.184
5-Apr-18,29.252
6-Apr-18,29.316
9-Apr-18,29.255
10-Apr-18,29.19
11-Apr-18,29.203
12-Apr-18,29.298
